Dataset,Quantiles,Trust,Baseline Accuracy,Classifiable Accuracy,Accuracy Diff,Pct. Dropped,Accuracy Drop Ratio
audiology,0.05,0.552479643104643,0.8011695906432749,0.8148148148148148,0.013645224171539905,0.04736842105263158,0.288065843621398
audiology,0.1,0.6270676691729324,0.8011695906432749,0.8376623376623377,0.0364927470190628,0.08947368421052632,0.40786011374246656
audiology,0.15,0.6880927630927631,0.8011695906432749,0.8482758620689655,0.04710627142569068,0.1368421052631579,0.34423813734158576
audiology,0.2,0.7314814814814814,0.8011695906432749,0.8759124087591241,0.07474281811584926,0.17894736842105263,0.4176804541768047
audiology,0.25,0.7730017006802721,0.8011695906432749,0.8984375,0.09726790935672514,0.22631578947368422,0.4297884366925064
audiology,0.3,0.8108108108108107,0.8011695906432749,0.925,0.12383040935672518,0.26842105263157895,0.4613289760348585
audiology,0.35,0.8490990990990991,0.8011695906432749,0.9279279279279279,0.12675833728465302,0.3157894736842105,0.40140140140140124
audiology,0.4,0.8648648648648648,0.8011695906432749,0.9223300970873787,0.12116050644410381,0.35789473684210527,0.33853670918205475
audiology,0.45,0.8894110275689222,0.8011695906432749,0.925531914893617,0.1243623242503421,0.4052631578947368,0.3068680728255195
audiology,0.5,0.9027777777777777,0.8011695906432749,0.9534883720930233,0.15231878144974842,0.4473684210526316,0.3404772761817906
audiology,0.55,0.9122104247104247,0.8011695906432749,0.948051948051948,0.14688235740867317,0.49473684210526314,0.2968898713579564
audiology,0.6,0.9326388888888889,0.8011695906432749,0.9565217391304348,0.15535214848715995,0.5368421052631579,0.28938145306431756
audiology,0.65,0.9478865420041891,0.8011695906432749,0.9833333333333333,0.18216374269005842,0.5842105263157895,0.31181181181181167
audiology,0.7,0.9666666666666666,0.8011695906432749,1.0,0.19883040935672514,0.6263157894736842,0.31746031746031744
audiology,0.75,0.9790075120957474,0.8011695906432749,1.0,0.19883040935672514,0.6736842105263158,0.2951388888888889
audiology,0.8,0.9859040984814977,0.8011695906432749,1.0,0.19883040935672514,0.7157894736842105,0.27777777777777773
audiology,0.85,0.9912762922588076,0.8011695906432749,1.0,0.19883040935672514,0.7631578947368421,0.26053639846743293
audiology,0.9,0.9936204146730462,0.8011695906432749,1.0,0.19883040935672514,0.8052631578947368,0.2469135802469136
audiology,0.95,0.9994192799070847,0.8011695906432749,1.0,0.19883040935672514,0.8526315789473684,0.23319615912208505
