Dataset,Quantiles,Trust,Baseline Accuracy,Classifiable Accuracy,Accuracy Diff,Pct. Dropped,Accuracy Drop Ratio
crx,0.05,0.592687252595703,0.8743718592964824,0.8888888888888888,0.014517029592406416,0.045180722891566265,0.32131025497859533
crx,0.1,0.6575232438520022,0.8743718592964824,0.9050279329608939,0.030656073664411476,0.09036144578313253,0.33926054855282034
crx,0.15,0.729085890757632,0.8743718592964824,0.9191321499013807,0.04476029060489828,0.1355421686746988,0.330231477351694
crx,0.2,0.766361683967796,0.8743718592964824,0.9266247379454927,0.05225287864901029,0.18072289156626506,0.2891325951911903
crx,0.25,0.7973565323565324,0.8743718592964824,0.9352678571428571,0.06089599784637467,0.22439759036144577,0.27137545348988446
crx,0.3,0.8220846039565252,0.8743718592964824,0.937799043062201,0.06342718376571854,0.26957831325301207,0.23528296100802853
crx,0.35,0.8485962192363575,0.8743718592964824,0.9458762886597938,0.07150442936331136,0.3147590361445783,0.2271719669724342
crx,0.4,0.8688729939069516,0.8743718592964824,0.9497206703910615,0.07534881109457903,0.35993975903614456,0.20933728270627813
crx,0.45,0.8853100926710633,0.8743718592964824,0.948170731707317,0.0737988724108346,0.40512048192771083,0.18216524639700438
crx,0.5,0.8989898989898989,0.8743718592964824,0.9498327759197325,0.07546091662325005,0.44879518072289154,0.16814110281153705
crx,0.55,0.9146043314966176,0.8743718592964824,0.9516728624535316,0.07730100315704913,0.4939759036144578,0.1564873966350019
crx,0.6,0.930134275932595,0.8743718592964824,0.9539748953974896,0.07960303610100716,0.5391566265060241,0.1476436200309183
crx,0.65,0.9391540397599355,0.8743718592964824,0.9521531100478469,0.07778125075136444,0.5843373493975904,0.1331101816982113
crx,0.7,0.9513138713138712,0.8743718592964824,0.9497206703910615,0.07534881109457903,0.6295180722891566,0.11969284824593415
crx,0.75,0.9621621621621622,0.8743718592964824,0.9666666666666667,0.09229480737018425,0.6731927710843374,0.13710011654094484
crx,0.8,0.96875,0.8743718592964824,0.9586776859504132,0.08430582665393083,0.7168674698795181,0.11760308592060938
crx,0.85,0.9796477675190098,0.8743718592964824,0.9555555555555556,0.08118369625907318,0.7635542168674698,0.10632342074166587
crx,0.9,0.9884592314397874,0.8743718592964824,0.95,0.07562814070351753,0.8087349397590361,0.0935141255626362
crx,0.95,0.9943698443437416,0.8743718592964824,0.9666666666666667,0.09229480737018425,0.8539156626506024,0.1080842188603216
