Dataset,Quantiles,Trust,Baseline Accuracy,Classifiable Accuracy,Accuracy Diff,Pct. Dropped,Accuracy Drop Ratio
diabetes,0.05,0.49664375084509826,0.7568740955137482,0.7652439024390244,0.008369806925276224,0.045572916666666664,0.18365747767463259
diabetes,0.1,0.5405960705669117,0.7568740955137482,0.7861736334405145,0.029299537926766317,0.08984375,0.3261165960544425
diabetes,0.15,0.5654283248774968,0.7568740955137482,0.7921635434412265,0.035289447927478346,0.13541666666666666,0.2605990000798401
diabetes,0.2,0.5941391547335257,0.7568740955137482,0.8083182640144665,0.05144416850071831,0.1796875,0.2862979812213889
diabetes,0.25,0.6224484976286968,0.7568740955137482,0.8204633204633205,0.06358922494957231,0.22526041666666666,0.2822920506431881
diabetes,0.3,0.6416582964573929,0.7568740955137482,0.8347107438016529,0.07783664828790471,0.26953125,0.2887852458217914
diabetes,0.35,0.6624786557664333,0.7568740955137482,0.8507795100222717,0.09390541450852352,0.3151041666666667,0.2980138774485374
diabetes,0.4,0.6915768566931357,0.7568740955137482,0.8650602409638555,0.1081861454501073,0.359375,0.3010397090785594
diabetes,0.45,0.7203208909283756,0.7568740955137482,0.8789473684210526,0.12207327290730441,0.4049479166666667,0.3014542559254334
diabetes,0.5,0.7403078105434555,0.7568740955137482,0.8930635838150289,0.13618948830128075,0.44921875,0.30316964352285103
diabetes,0.55,0.7698664242561167,0.7568740955137482,0.9035369774919614,0.1466628819782132,0.4947916666666667,0.29641340357702034
diabetes,0.6,0.8005674403273849,0.7568740955137482,0.924187725631769,0.1673136301180208,0.5390625,0.3103789080450241
diabetes,0.65,0.8167906453540695,0.7568740955137482,0.9338842975206612,0.17701020200691298,0.5846354166666666,0.30277023416772647
diabetes,0.7,0.8422093110508554,0.7568740955137482,0.9468599033816425,0.18998580786789432,0.6302083333333334,0.3014650835589728
diabetes,0.75,0.8798091266074655,0.7568740955137482,0.953757225433526,0.19688312991977786,0.6744791666666666,0.29190394551812626
diabetes,0.8,0.9121749084249083,0.7568740955137482,0.9712230215827338,0.2143489260689856,0.71875,0.2982245927916321
diabetes,0.85,0.9366016951281926,0.7568740955137482,0.9903846153846154,0.23351051987086724,0.7643229166666666,0.3055129118583067
diabetes,0.9,0.9610669290471926,0.7568740955137482,0.9857142857142858,0.22884019020053759,0.80859375,0.283010090296317
diabetes,0.95,0.9893163020416882,0.7568740955137482,0.9714285714285714,0.21455447591482324,0.8541666666666666,0.2511857279002809
