Dataset,Quantiles,Trust,Baseline Accuracy,Classifiable Accuracy,Accuracy Diff,Pct. Dropped,Accuracy Drop Ratio
flare1,0.05,0.5653661541174884,0.8793103448275862,0.9054545454545454,0.026144200626959213,0.04643962848297214,0.5629717868338551
flare1,0.1,0.6859442252510761,0.8793103448275862,0.9080459770114943,0.028735632183908066,0.08978328173374613,0.32005548949663126
flare1,0.15,0.7316879543715298,0.8793103448275862,0.9065040650406504,0.02719372021306421,0.13622291021671826,0.19962662792772137
flare1,0.2,0.7753716110726109,0.8793103448275862,0.9051724137931034,0.025862068965517238,0.17956656346749225,0.14402497027348393
flare1,0.25,0.8192873645853522,0.8793103448275862,0.9078341013824884,0.028523756554902246,0.2260061919504644,0.12620785434566337
flare1,0.3,0.861042240587695,0.8793103448275862,0.9064039408866995,0.027093596059113323,0.2693498452012384,0.10058886812751268
flare1,0.35,0.8877997338065661,0.8793103448275862,0.9042553191489362,0.02494497432135001,0.3157894736842105,0.07899241868427503
flare1,0.4,0.9044598461394128,0.8793103448275862,0.9022988505747126,0.02298850574712641,0.3591331269349845,0.06401109789932613
flare1,0.45,0.9268937823959343,0.8793103448275862,0.9119496855345912,0.03263934070700503,0.4055727554179567,0.08047715304093606
flare1,0.5,0.9479154507380313,0.8793103448275862,0.9172413793103448,0.037931034482758585,0.44891640866873067,0.0844946492271105
flare1,0.55,0.9674601840736295,0.8793103448275862,0.916030534351145,0.03672018952355882,0.49226006191950467,0.07459510198811005
flare1,0.6,0.9729729729729729,0.8793103448275862,0.905982905982906,0.026672561155319796,0.5356037151702786,0.049799059266868756
flare1,0.65,0.9838477996232182,0.8793103448275862,0.9313725490196079,0.05206220419202168,0.5820433436532507,0.08944729762778193
flare1,0.7,0.9922790498157484,0.8793103448275862,0.9770114942528736,0.0977011494252874,0.628482972136223,0.15545552346979227
flare1,0.75,0.9967671433658358,0.8793103448275862,0.9863013698630136,0.10699102503542746,0.6718266253869969,0.15925392205734132
flare1,0.8,0.9987660905061965,0.8793103448275862,0.9827586206896551,0.10344827586206895,0.718266253869969,0.14402497027348393
flare1,0.85,0.9991792507787673,0.8793103448275862,0.9772727272727273,0.0979623824451411,0.7616099071207431,0.12862540459260396
flare1,0.9,0.9996651785714286,0.8793103448275862,0.9655172413793104,0.0862068965517242,0.8080495356037152,0.10668516316554374
flare1,0.95,1.0,0.8793103448275862,0.9473684210526315,0.06805807622504534,0.8390092879256966,0.08111719048224961
