Dataset,Quantiles,Trust,Baseline Accuracy,Classifiable Accuracy,Accuracy Diff,Pct. Dropped,Accuracy Drop Ratio
heart_disease,0.05,0.14223599793452732,0.5845588235294118,0.6007751937984496,0.016216370269037772,0.0462046204620462,0.35096858510846035
heart_disease,0.1,0.20605804933261554,0.5845588235294118,0.6311475409836066,0.046588717454194795,0.0924092409240924,0.5041564781650366
heart_disease,0.15,0.24665219571029992,0.5845588235294118,0.6536796536796536,0.06912083015024184,0.1353135313531353,0.5108197935493483
heart_disease,0.2,0.281510582010582,0.5845588235294118,0.695852534562212,0.11129371103280017,0.18151815181518152,0.61312717168979
heart_disease,0.25,0.3154292746204511,0.5845588235294118,0.7254901960784313,0.14093137254901955,0.22442244224422442,0.6279736159169548
heart_disease,0.3,0.36168958818958813,0.5845588235294118,0.7526315789473684,0.16807275541795663,0.2706270627062706,0.6210493279468398
heart_disease,0.35,0.417156500906501,0.5845588235294118,0.7740112994350282,0.18945247590561642,0.31353135313531355,0.6042536863094924
heart_disease,0.4,0.4684316540469002,0.5845588235294118,0.8098159509202454,0.2252571273908336,0.35973597359735976,0.6261734825635098
heart_disease,0.45,0.5248845272876175,0.5845588235294118,0.8333333333333334,0.24877450980392157,0.40264026402640263,0.6178580038572806
heart_disease,0.5,0.5721896933648596,0.5845588235294118,0.8529411764705882,0.2683823529411764,0.44884488448844884,0.5979400951557092
heart_disease,0.55,0.6395891690009337,0.5845588235294118,0.8852459016393442,0.30068707810993245,0.49504950495049505,0.6073878977820636
heart_disease,0.6,0.6802830702802407,0.5845588235294118,0.8990825688073395,0.3145237452779277,0.5379537953795379,0.5846668393816693
heart_disease,0.65,0.7329183624031007,0.5845588235294118,0.9157894736842105,0.3312306501547987,0.5841584158415841,0.5670219604344859
heart_disease,0.7,0.774265494250408,0.5845588235294118,0.9024390243902439,0.31788020086083213,0.6270627062706271,0.5069352676885902
heart_disease,0.75,0.8220864186982608,0.5845588235294118,0.9117647058823529,0.3272058823529411,0.6732673267326733,0.485996972318339
heart_disease,0.8,0.8570301532240704,0.5845588235294118,0.9454545454545454,0.36089572192513364,0.7161716171617162,0.5039235195544493
heart_disease,0.85,0.9006974251024173,0.5845588235294118,0.9512195121951219,0.3666606886657101,0.7623762376237624,0.48094453967839895
heart_disease,0.9,0.9437954662296768,0.5845588235294118,0.9642857142857143,0.3797268907563025,0.8052805280528053,0.4715460979473757
heart_disease,0.95,0.9742618741976894,0.5845588235294118,1.0,0.4154411764705882,0.8514851485148515,0.4879018467852257
