Dataset,Quantiles,Trust,Baseline Accuracy,Classifiable Accuracy,Accuracy Diff,Pct. Dropped,Accuracy Drop Ratio
hepatitis,0.05,0.4146773002130145,0.6451612903225806,0.6752136752136753,0.03005238489109463,0.050724637681159424,0.5924613021387227
hepatitis,0.1,0.4579104074839141,0.6451612903225806,0.6846846846846847,0.03952339436210406,0.09420289855072464,0.41955603245925843
hepatitis,0.15,0.4705694055864429,0.6451612903225806,0.7142857142857143,0.06912442396313367,0.13768115942028986,0.5020616056269709
hepatitis,0.2,0.4938685987215399,0.6451612903225806,0.7272727272727273,0.08211143695014667,0.18115942028985507,0.4532551319648096
hepatitis,0.25,0.5288266885701649,0.6451612903225806,0.7311827956989247,0.08602150537634412,0.2246376811594203,0.38293444328824155
hepatitis,0.3,0.5531069051940195,0.6451612903225806,0.7126436781609196,0.06748238783833893,0.26811594202898553,0.25169106815380465
hepatitis,0.35,0.5792663519276423,0.6451612903225806,0.7125,0.0673387096774194,0.3188405797101449,0.2111986803519063
hepatitis,0.4,0.6037570515186794,0.6451612903225806,0.7432432432432432,0.09808195292066257,0.36231884057971014,0.2707061900610287
hepatitis,0.45,0.6270208517927817,0.6451612903225806,0.7647058823529411,0.1195445920303605,0.4057971014492754,0.2945920303605312
hepatitis,0.5,0.643948390950742,0.6451612903225806,0.7741935483870968,0.12903225806451613,0.4492753623188406,0.28720083246618106
hepatitis,0.55,0.6575686174354338,0.6451612903225806,0.8035714285714286,0.15841013824884798,0.4927536231884058,0.3214793982108973
hepatitis,0.6,0.6934728820786944,0.6451612903225806,0.82,0.17483870967741932,0.5362318840579711,0.3260505666957279
hepatitis,0.65,0.717538055094446,0.6451612903225806,0.8409090909090909,0.1957478005865103,0.5797101449275363,0.3376649560117303
hepatitis,0.7,0.7461310190159981,0.6451612903225806,0.8648648648648649,0.21970357454228429,0.6304347826086957,0.34849532513603715
hepatitis,0.75,0.7860248091333617,0.6451612903225806,0.8709677419354839,0.22580645161290325,0.6739130434782609,0.3350676378772113
hepatitis,0.8,0.8106070394842325,0.6451612903225806,0.88,0.23483870967741938,0.717391304347826,0.32735092864125126
hepatitis,0.85,0.8505471648886826,0.6451612903225806,0.8947368421052632,0.24957555178268254,0.7608695652173914,0.3280135823429542
hepatitis,0.9,0.8872026261404925,0.6451612903225806,0.9230769230769231,0.2779156327543425,0.8043478260869565,0.3455167326135069
hepatitis,0.95,0.9727200900603159,0.6451612903225806,1.0,0.3548387096774194,0.8478260869565217,0.4185277088502895
