Dataset,Quantiles,Trust,Baseline Accuracy,Classifiable Accuracy,Accuracy Diff,Pct. Dropped,Accuracy Drop Ratio
ionosphere,0.05,0.7788998822798047,0.926984126984127,0.9331103678929766,0.006126240908849612,0.045584045584045586,0.13439440993788834
ionosphere,0.1,0.8005054987869039,0.926984126984127,0.9469964664310954,0.02001233944696834,0.09116809116809117,0.21951034830893398
ionosphere,0.15,0.8397497194974699,0.926984126984127,0.947565543071161,0.02058141608703401,0.13675213675213677,0.15050160513643618
ionosphere,0.2,0.855717862642497,0.926984126984127,0.9563492063492064,0.029365079365079372,0.1794871794871795,0.16360544217687079
ionosphere,0.25,0.8718153938854956,0.926984126984127,0.961864406779661,0.034880279795533986,0.22507122507122507,0.15497440769914467
ionosphere,0.3,0.8840258743862306,0.926984126984127,0.9636363636363636,0.0366522366522366,0.2706552706552707,0.13542036910457944
ionosphere,0.35,0.9004217458109838,0.926984126984127,0.9707317073170731,0.04374758033294612,0.31339031339031337,0.13959455178967356
ionosphere,0.4,0.9114361421388527,0.926984126984127,0.9788359788359788,0.051851851851851816,0.358974358974359,0.14444444444444435
ionosphere,0.45,0.9223816927003303,0.926984126984127,0.9826589595375722,0.055674832553445186,0.4045584045584046,0.1376187762412624
ionosphere,0.5,0.9331396286838081,0.926984126984127,0.9873417721518988,0.060357645167771756,0.4472934472934473,0.13493970352794832
ionosphere,0.55,0.9395238591397757,0.926984126984127,0.9859154929577465,0.058931365973619476,0.4928774928774929,0.11956595061699674
ionosphere,0.6,0.949845237164096,0.926984126984127,0.9841269841269841,0.05714285714285705,0.5384615384615384,0.10612244897959167
ionosphere,0.65,0.9560296299770109,0.926984126984127,0.9818181818181818,0.05483405483405479,0.584045584045584,0.0938866012036743
ionosphere,0.7,0.9606423549541923,0.926984126984127,0.9789473684210527,0.051963241436925656,0.6267806267806267,0.08290498974709502
ionosphere,0.75,0.9680684641059729,0.926984126984127,0.9873417721518988,0.060357645167771756,0.6723646723646723,0.0897692095503724
ionosphere,0.8,0.9731949387952724,0.926984126984127,1.0,0.07301587301587298,0.717948717948718,0.1017006802721088
ionosphere,0.85,0.9786759864355365,0.926984126984127,1.0,0.07301587301587298,0.7606837606837606,0.09598715890850718
ionosphere,0.9,0.9831075799218931,0.926984126984127,1.0,0.07301587301587298,0.8062678062678063,0.09056032306915694
ionosphere,0.95,0.985066572401616,0.926984126984127,1.0,0.07301587301587298,0.8518518518518519,0.08571428571428567
