Dataset,Quantiles,Trust,Baseline Accuracy,Classifiable Accuracy,Accuracy Diff,Pct. Dropped,Accuracy Drop Ratio
iris,0.05,0.7493210307491277,0.9481481481481482,0.9765625,0.028414351851851816,0.04666666666666667,0.6088789682539675
iris,0.1,0.8645495907079772,0.9481481481481482,0.9752066115702479,0.02705846342209972,0.09333333333333334,0.2899121080939256
iris,0.15,0.9378410412498641,0.9481481481481482,0.9824561403508771,0.034307992202728954,0.14,0.24505708716234964
iris,0.2,0.9623577151733796,0.9481481481481482,0.9814814814814815,0.033333333333333326,0.18,0.18518518518518515
iris,0.25,0.9658605701017333,0.9481481481481482,0.9900990099009901,0.041950861752841906,0.22666666666666666,0.18507733126253784
iris,0.3,0.9742751220081016,0.9481481481481482,0.9893617021276596,0.04121355397951143,0.2733333333333333,0.15078129504699306
iris,0.35,0.9796011129392918,0.9481481481481482,0.9886363636363636,0.04048821548821546,0.31333333333333335,0.12921770900494295
iris,0.4,0.9837574046546512,0.9481481481481482,0.9876543209876543,0.03950617283950608,0.36,0.109739368998628
iris,0.45,0.9882965673725288,0.9481481481481482,1.0,0.051851851851851816,0.4066666666666667,0.12750455373406183
iris,0.5,0.9900070177684063,0.9481481481481482,1.0,0.051851851851851816,0.44666666666666666,0.11608623548922048
iris,0.55,0.9912668528268782,0.9481481481481482,1.0,0.051851851851851816,0.49333333333333335,0.10510510510510503
iris,0.6,0.9932965439280139,0.9481481481481482,1.0,0.051851851851851816,0.54,0.09602194787379965
iris,0.65,0.9948134224787853,0.9481481481481482,1.0,0.051851851851851816,0.5866666666666667,0.08838383838383833
iris,0.7,0.9999999999999999,0.9481481481481482,1.0,0.051851851851851816,0.6133333333333333,0.08454106280193231
iris,0.75,1.0,0.9481481481481482,1.0,0.051851851851851816,0.6466666666666666,0.08018327605956467
iris,0.8,1.0,0.9481481481481482,1.0,0.051851851851851816,0.6466666666666666,0.08018327605956467
iris,0.85,1.0,0.9481481481481482,1.0,0.051851851851851816,0.6466666666666666,0.08018327605956467
iris,0.9,1.0,0.9481481481481482,1.0,0.051851851851851816,0.6466666666666666,0.08018327605956467
iris,0.95,1.0000000000000002,0.9481481481481482,1.0,0.051851851851851816,0.8133333333333334,0.06375227686703092
