Dataset,Quantiles,Trust,Baseline Accuracy,Classifiable Accuracy,Accuracy Diff,Pct. Dropped,Accuracy Drop Ratio
parkinsons,0.05,0.6860330020892395,0.9028571428571428,0.9096385542168675,0.006781411359724654,0.046153846153846156,0.14693057946070082
parkinsons,0.1,0.7278883855507818,0.9028571428571428,0.9363057324840764,0.033448589626933645,0.09230769230769231,0.3623597209584478
parkinsons,0.15,0.7747021208929199,0.9028571428571428,0.9459459459459459,0.04308880308880314,0.13846153846153847,0.31119691119691156
parkinsons,0.2,0.8100383572305574,0.9028571428571428,0.9571428571428572,0.05428571428571438,0.1794871794871795,0.30244897959183725
parkinsons,0.25,0.8326301239067018,0.9028571428571428,0.9694656488549618,0.06660850599781898,0.22564102564102564,0.2951967879448796
parkinsons,0.3,0.8699975035857389,0.9028571428571428,0.9672131147540983,0.06435597189695552,0.2717948717948718,0.23678140603596845
parkinsons,0.35,0.8862691179081829,0.9028571428571428,0.9649122807017544,0.062055137844611585,0.3128205128205128,0.19837298163441408
parkinsons,0.4,0.9003355082159578,0.9028571428571428,0.9714285714285714,0.06857142857142862,0.358974358974359,0.19102040816326543
parkinsons,0.45,0.9240625547338736,0.9028571428571428,0.96875,0.0658928571428572,0.40512820512820513,0.1626469258589513
parkinsons,0.5,0.9392306413953272,0.9028571428571428,0.9886363636363636,0.08577922077922084,0.4461538461538462,0.1922637707120467
parkinsons,0.55,0.9516189797870199,0.9028571428571428,0.9873417721518988,0.08448462929475598,0.49230769230769234,0.17160940325497306
parkinsons,0.6,0.9625428790232918,0.9028571428571428,0.9857142857142858,0.08285714285714296,0.5384615384615384,0.15387755102040837
parkinsons,0.65,0.9709673916220021,0.9028571428571428,0.9836065573770492,0.08074941451990636,0.5846153846153846,0.13812399852089244
parkinsons,0.7,0.986007370012156,0.9028571428571428,1.0,0.0971428571428572,0.6256410256410256,0.15526932084309142
parkinsons,0.75,0.9939837328188119,0.9028571428571428,1.0,0.0971428571428572,0.6717948717948717,0.1446019629225737
parkinsons,0.8,0.9971809071771549,0.9028571428571428,1.0,0.0971428571428572,0.717948717948718,0.13530612244897966
parkinsons,0.85,0.9975004403085203,0.9028571428571428,1.0,0.0971428571428572,0.7589743589743589,0.12799227799227808
parkinsons,0.9,0.9978440675136284,0.9028571428571428,1.0,0.0971428571428572,0.8051282051282052,0.1206551410373067
parkinsons,0.95,0.9982180650496243,0.9028571428571428,1.0,0.0971428571428572,0.8512820512820513,0.11411359724612744
