Dataset,Quantiles,Trust,Baseline Accuracy,Classifiable Accuracy,Accuracy Diff,Pct. Dropped,Accuracy Drop Ratio
titanic,0.05,0.30825561841140886,0.775,0.8092105263157895,0.03421052631578947,0.0449438202247191,0.7611842105263157
titanic,0.1,0.43302732128575233,0.775,0.8315972222222222,0.05659722222222219,0.0898876404494382,0.6296440972222218
titanic,0.15,0.521997858630018,0.775,0.8511029411764706,0.07610294117647054,0.1348314606741573,0.5644301470588232
titanic,0.2,0.6005413303122147,0.775,0.87109375,0.09609374999999998,0.1797752808988764,0.5345214843749999
titanic,0.25,0.6651769599035223,0.775,0.8875,0.11249999999999993,0.2247191011235955,0.5006249999999998
titanic,0.3,0.717285696085696,0.775,0.8973214285714286,0.12232142857142858,0.2696629213483146,0.453608630952381
titanic,0.35,0.7604723389355743,0.775,0.90625,0.13124999999999998,0.3146067415730337,0.41718749999999993
titanic,0.4,0.7854355128334176,0.775,0.9114583333333334,0.13645833333333335,0.3595505617977528,0.3795247395833334
titanic,0.45,0.8217682815017208,0.775,0.9147727272727273,0.13977272727272727,0.4044943820224719,0.34554924242424245
titanic,0.5,0.8585219944541405,0.775,0.928125,0.15312499999999996,0.449438202247191,0.3407031249999999
titanic,0.55,0.8795841275863627,0.775,0.9305555555555556,0.15555555555555556,0.4943820224719101,0.3146464646464647
titanic,0.6,0.8987866087582352,0.775,0.9375,0.16249999999999998,0.5393258426966292,0.3013020833333333
titanic,0.65,0.9138132700683239,0.775,0.9464285714285714,0.17142857142857137,0.5842696629213483,0.2934065934065933
titanic,0.7,0.9305111139044613,0.775,0.9375,0.16249999999999998,0.6292134831460674,0.25825892857142857
titanic,0.75,0.9427050195741726,0.775,0.9375,0.16249999999999998,0.6741573033707865,0.24104166666666665
titanic,0.8,0.9554722089157748,0.775,0.9375,0.16249999999999998,0.7191011235955056,0.22597656249999998
titanic,0.85,0.9661350274895424,0.775,0.9583333333333334,0.18333333333333335,0.7640449438202247,0.2399509803921569
titanic,0.9,0.9756071257916796,0.775,0.9375,0.16249999999999998,0.8089887640449438,0.20086805555555554
titanic,0.95,0.9870618902490547,0.775,0.90625,0.13124999999999998,0.8539325842696629,0.15370065789473683
