Dataset,Quantiles,Trust,Baseline Accuracy,Classifiable Accuracy,Accuracy Diff,Pct. Dropped,Accuracy Drop Ratio
titanic,0.05,0.3197590721244567,0.7875,0.8157894736842105,0.02828947368421053,0.0449438202247191,0.6294407894736843
titanic,0.1,0.429579384876641,0.7875,0.8402777777777778,0.05277777777777781,0.0898876404494382,0.5871527777777782
titanic,0.15,0.5235873195961632,0.7875,0.8621323529411765,0.07463235294117654,0.1348314606741573,0.553523284313726
titanic,0.2,0.616193543191581,0.7875,0.880859375,0.09335937500000002,0.1797752808988764,0.5193115234375001
titanic,0.25,0.6921619895132596,0.7875,0.8958333333333334,0.10833333333333339,0.2247191011235955,0.4820833333333336
titanic,0.3,0.7294151711627074,0.7875,0.9040178571428571,0.11651785714285712,0.2696629213483146,0.4320870535714285
titanic,0.35,0.7635237854355502,0.7875,0.9086538461538461,0.12115384615384617,0.3146067415730337,0.3850961538461539
titanic,0.4,0.7954498458788044,0.7875,0.9166666666666666,0.12916666666666665,0.3595505617977528,0.3592447916666666
titanic,0.45,0.8276564226018077,0.7875,0.9204545454545454,0.13295454545454544,0.4044943820224719,0.3286931818181818
titanic,0.5,0.8590124336311241,0.7875,0.91875,0.13124999999999998,0.449438202247191,0.29203124999999996
titanic,0.55,0.8867231886473207,0.7875,0.9305555555555556,0.1430555555555556,0.4943820224719101,0.28936237373737383
titanic,0.6,0.9046406026390305,0.7875,0.9375,0.15000000000000002,0.5393258426966292,0.27812500000000007
titanic,0.65,0.9198368751343085,0.7875,0.9464285714285714,0.15892857142857142,0.5842696629213483,0.2720123626373626
titanic,0.7,0.9345460894027805,0.7875,0.9583333333333334,0.1708333333333334,0.6292134831460674,0.2715029761904763
titanic,0.75,0.9524518577070955,0.7875,0.9625,0.17500000000000004,0.6741573033707865,0.2595833333333334
titanic,0.8,0.9642550124995776,0.7875,0.953125,0.16562500000000002,0.7191011235955056,0.23032226562500005
titanic,0.85,0.9716595455988363,0.7875,0.9479166666666666,0.16041666666666665,0.7640449438202247,0.20995710784313723
titanic,0.9,0.9808277645777644,0.7875,0.9375,0.15000000000000002,0.8089887640449438,0.1854166666666667
titanic,0.95,0.9907635383868935,0.7875,0.9375,0.15000000000000002,0.8539325842696629,0.17565789473684212
