Dataset,Quantiles,Trust,Baseline Accuracy,Classifiable Accuracy,Accuracy Diff,Pct. Dropped,Accuracy Drop Ratio
treeData,0.05,0.7650028194244856,0.9367283950617284,0.9488220958570268,0.012093700795298368,0.04513888888888889,0.26792198684968693
treeData,0.1,0.8120308459767007,0.9367283950617284,0.9579759862778731,0.021247591216144612,0.09027777777777778,0.2353579334711403
treeData,0.15,0.8400152021350602,0.9367283950617284,0.9727520435967303,0.03602364853500184,0.13541666666666666,0.2660207891815521
treeData,0.2,0.8633670088428578,0.9367283950617284,0.9836065573770492,0.046878162315320715,0.1798611111111111,0.26063534260255533
treeData,0.25,0.8900302768658033,0.9367283950617284,0.9907407407407407,0.05401234567901225,0.225,0.2400548696844989
treeData,0.3,0.9123596749191718,0.9367283950617284,0.9944873208379272,0.05775892577619879,0.2701388888888889,0.21381196174222689
treeData,0.35,0.9293018913066241,0.9367283950617284,0.996437054631829,0.05970865957010052,0.31527777777777777,0.18938429467168447
treeData,0.4,0.945982733300292,0.9367283950617284,0.9987146529562982,0.061986257894569796,0.3597222222222222,0.17231701036328284
treeData,0.45,0.9560822130926788,0.9367283950617284,1.0,0.06327160493827155,0.4048611111111111,0.15627977892128822
treeData,0.5,0.9628442179536008,0.9367283950617284,1.0,0.06327160493827155,0.45,0.14060356652949232
treeData,0.55,0.9693903999253971,0.9367283950617284,1.0,0.06327160493827155,0.4951388888888889,0.1277855695808009
treeData,0.6,0.9737498247030063,0.9367283950617284,1.0,0.06327160493827155,0.5395833333333333,0.11726011726011717
treeData,0.65,0.977266235396445,0.9367283950617284,1.0,0.06327160493827155,0.5847222222222223,0.10820797044074944
treeData,0.7,0.9807629433799628,0.9367283950617284,1.0,0.06327160493827155,0.6298611111111111,0.10045326473110368
treeData,0.75,0.9843878876176662,0.9367283950617284,1.0,0.06327160493827155,0.675,0.09373571101966155
treeData,0.8,0.9866747461539733,0.9367283950617284,1.0,0.06327160493827155,0.7194444444444444,0.08794508794508787
treeData,0.85,0.989068742955315,0.9367283950617284,1.0,0.06327160493827155,0.7645833333333333,0.08275305278030068
treeData,0.9,0.9917776349365687,0.9367283950617284,1.0,0.06327160493827155,0.8097222222222222,0.07813988946064411
treeData,0.95,0.9967614099248381,0.9367283950617284,1.0,0.06327160493827155,0.8548611111111111,0.07401390017149556
