Dataset,Quantiles,Trust,Baseline Accuracy,Classifiable Accuracy,Accuracy Diff,Pct. Dropped,Accuracy Drop Ratio
waveform,0.05,0.6771634626499341,0.8428888888888889,0.8538011695906432,0.010912280701754318,0.045,0.24249512670565151
waveform,0.1,0.714241545955087,0.8428888888888889,0.8661728395061729,0.023283950617283944,0.09,0.25871056241426604
waveform,0.15,0.7378164928096264,0.8428888888888889,0.8750326797385621,0.032143790849673226,0.135,0.23810215444202387
waveform,0.2,0.756517243064925,0.8428888888888889,0.8863888888888889,0.04349999999999998,0.18,0.24166666666666659
waveform,0.25,0.7742486909342126,0.8428888888888889,0.8954074074074074,0.05251851851851852,0.225,0.2334156378600823
waveform,0.3,0.7895093438147754,0.8428888888888889,0.9044444444444445,0.061555555555555586,0.27,0.2279835390946503
waveform,0.35,0.8042488629430778,0.8428888888888889,0.9138461538461539,0.07095726495726495,0.315,0.22526115859449192
waveform,0.4,0.8168394863228099,0.8428888888888889,0.9222222222222223,0.07933333333333337,0.36,0.22037037037037047
waveform,0.45,0.8289973304541959,0.8428888888888889,0.9317171717171717,0.08882828282828281,0.405,0.21932909340316742
waveform,0.5,0.8417544029397542,0.8428888888888889,0.9368888888888889,0.09399999999999997,0.45,0.20888888888888882
waveform,0.55,0.8534618778189647,0.8428888888888889,0.945679012345679,0.10279012345679006,0.495,0.20765681506422234
waveform,0.6,0.8658657325051756,0.8428888888888889,0.9538888888888889,0.11099999999999999,0.54,0.20555555555555552
waveform,0.65,0.8776458477013457,0.8428888888888889,0.9638095238095238,0.12092063492063487,0.585,0.2067019400352733
waveform,0.7,0.8883344086501771,0.8428888888888889,0.9740740740740741,0.13118518518518518,0.63,0.20823045267489712
waveform,0.75,0.8992722605127466,0.8428888888888889,0.9822222222222222,0.1393333333333333,0.675,0.20641975308641972
waveform,0.8,0.9111015248747872,0.8428888888888889,0.9866666666666667,0.14377777777777778,0.72,0.19969135802469137
waveform,0.85,0.9239246539857238,0.8428888888888889,0.9896296296296296,0.14674074074074073,0.765,0.19181796175260227
waveform,0.9,0.9374654567745067,0.8428888888888889,0.9955555555555555,0.15266666666666662,0.81,0.18847736625514397
waveform,0.95,0.954150821926783,0.8428888888888889,1.0,0.1571111111111111,0.855,0.18375568551007146
