Dataset,Quantiles,Trust,Baseline Accuracy,Classifiable Accuracy,Accuracy Diff,Pct. Dropped,Accuracy Drop Ratio
waveform,0.05,0.6614982385992114,0.8437777777777777,0.856140350877193,0.012362573099415242,0.045,0.27472384665367205
waveform,0.1,0.7007032068247991,0.8437777777777777,0.8701234567901235,0.026345679012345746,0.09,0.29272976680384166
waveform,0.15,0.728708502363067,0.8437777777777777,0.8802614379084968,0.03648366013071902,0.135,0.27024933430162235
waveform,0.2,0.7542021705157421,0.8437777777777777,0.8919444444444444,0.04816666666666669,0.18,0.2675925925925927
waveform,0.25,0.7741783272163857,0.8437777777777777,0.9042962962962963,0.06051851851851853,0.225,0.2689711934156379
waveform,0.3,0.7912983575582537,0.8437777777777777,0.9158730158730158,0.0720952380952381,0.27,0.2670194003527337
waveform,0.35,0.8063921135279245,0.8437777777777777,0.9261538461538461,0.08237606837606837,0.315,0.26151132817799483
waveform,0.4,0.8207061403664188,0.8437777777777777,0.9362962962962963,0.09251851851851856,0.36,0.25699588477366264
waveform,0.45,0.834529760657093,0.8437777777777777,0.9466666666666667,0.10288888888888892,0.405,0.25404663923182447
waveform,0.5,0.844979700956775,0.8437777777777777,0.9542222222222222,0.11044444444444446,0.45,0.24543209876543212
waveform,0.55,0.8580715471949382,0.8437777777777777,0.9639506172839506,0.12017283950617286,0.495,0.24277341314378356
waveform,0.6,0.8702496716022813,0.8437777777777777,0.97,0.12622222222222224,0.54,0.2337448559670782
waveform,0.65,0.8815910136918227,0.8437777777777777,0.9733333333333334,0.12955555555555565,0.585,0.22146248812915498
waveform,0.7,0.892854533949623,0.8437777777777777,0.9785185185185186,0.13474074074074083,0.63,0.21387419165196955
waveform,0.75,0.9051370449834193,0.8437777777777777,0.9857777777777778,0.14200000000000002,0.675,0.21037037037037037
waveform,0.8,0.9166960635230109,0.8437777777777777,0.9866666666666667,0.14288888888888895,0.72,0.19845679012345688
waveform,0.85,0.9288353607156615,0.8437777777777777,0.9896296296296296,0.1458518518518519,0.765,0.19065601549261685
waveform,0.9,0.9425235631546166,0.8437777777777777,0.9955555555555555,0.1517777777777778,0.81,0.18737997256515776
waveform,0.95,0.9605108785909588,0.8437777777777777,0.9911111111111112,0.14733333333333343,0.855,0.1723196881091619
