Dataset,Quantiles,Trust,Baseline Accuracy,Classifiable Accuracy,Accuracy Diff,Pct. Dropped,Accuracy Drop Ratio
wine,0.05,0.9349531862477182,0.98125,0.9802631578947368,-0.0009868421052631193,0.0449438202247191,-0.021957236842104405
wine,0.1,0.9590474028688354,0.98125,0.9861111111111112,0.004861111111111205,0.0898876404494382,0.054079861111112154
wine,0.15,0.9648918591629991,0.98125,0.9852941176470589,0.00404411764705892,0.1348314606741573,0.029993872549020327
wine,0.2,0.9704816983890157,0.98125,0.984375,0.0031250000000000444,0.1797752808988764,0.017382812500000247
wine,0.25,0.9754107101670138,0.98125,0.9833333333333333,0.002083333333333326,0.2247191011235955,0.009270833333333301
wine,0.3,0.9800270940271794,0.98125,0.9910714285714286,0.009821428571428648,0.2696629213483146,0.03642113095238123
wine,0.35,0.9834576485249646,0.98125,0.9903846153846154,0.009134615384615463,0.3146067415730337,0.029035027472527723
wine,0.4,0.9852466285614216,0.98125,0.9895833333333334,0.008333333333333415,0.3595505617977528,0.02317708333333356
wine,0.45,0.9860354307645669,0.98125,0.9886363636363636,0.007386363636363691,0.4044943820224719,0.01826073232323246
wine,0.5,0.9875491362918178,0.98125,0.9875,0.006250000000000089,0.449438202247191,0.013906250000000198
wine,0.55,0.9883683163786863,0.98125,0.9861111111111112,0.004861111111111205,0.4943820224719101,0.00983270202020221
wine,0.6,0.9889961457948914,0.98125,0.984375,0.0031250000000000444,0.5393258426966292,0.005794270833333416
wine,0.65,0.9898506509831627,0.98125,0.9821428571428571,0.0008928571428571397,0.5842696629213483,0.0015281593406593352
wine,0.7,0.9912367101725034,0.98125,0.9791666666666666,-0.002083333333333326,0.6292134831460674,-0.003311011904761893
wine,0.75,0.9935948827176593,0.98125,0.975,-0.006249999999999978,0.6741573033707865,-0.009270833333333301
wine,0.8,0.9979934214232994,0.98125,0.96875,-0.012499999999999956,0.7191011235955056,-0.017382812499999938
wine,0.85,1.0,0.98125,0.96,-0.02124999999999999,0.7584269662921348,-0.02801851851851851
wine,0.9,1.0,0.98125,0.96,-0.02124999999999999,0.7584269662921348,-0.02801851851851851
wine,0.95,1.0,0.98125,0.96,-0.02124999999999999,0.7584269662921348,-0.02801851851851851
